volume,plate,ia_id,leaf,gould_latin,gould_english,tier,birdnet_sci,birdnet_common,in_havell,in_gould_europe,note
III,45,BirdsAsiaJohnGoIIIGoul,188,Ianthocincla Artemisiae,Allied Ianthocincla,none,,,,,
III,46,BirdsAsiaJohnGoIIIGoul,192,Ianthocincla lunulata,Lunulated Ianthocincla,none,,,,,
III,47,BirdsAsiaJohnGoIIIGoul,196,Ianthocincla Austeni,Austen's Ianthocincla,none,,,,,
III,48,BirdsAsiaJohnGoIIIGoul,200,Garrulax Delesserti,Delessert's Garrulax,probable,Pterorhinus delesserti,Wayanad Laughingthrush,,,
III,49,BirdsAsiaJohnGoIIIGoul,204,Garrulax gularis,Yellow-throated Garrulax,not_in_birdnet,,,,,
III,50,BirdsAsiaJohnGoIIIGoul,208,Garrulax ruficeps,Red-crowned Garrulax,not_in_birdnet,,,,,
III,51,BirdsAsiaJohnGoIIIGoul,212,Garrulax poecilorhyncha,Black-and-yellow-billed Garrulax,probable,Pterorhinus poecilorhynchus,Rusty Laughingthrush,,,
III,52,BirdsAsiaJohnGoIIIGoul,216,Garrulax galbanus,Black-chinned Garrulax,not_in_birdnet,,,,,
III,53,BirdsAsiaJohnGoIIIGoul,220,Garrulax picticollis,Grey-banded Laughing Thrush,unsure,Garrulax monileger,Lesser Necklaced Laughingthrush,,,
III,54,BirdsAsiaJohnGoIIIGoul,224,Garrulax chinensis,Chinese Garrulax,probable,Pterorhinus chinensis,Black-throated Laughingthrush,,,
III,55,BirdsAsiaJohnGoIIIGoul,228,Pterorhinus Davidi,Pere David's Pterorhinus,exact,Pterorhinus davidi,Pere David's Laughingthrush,,,
III,56,BirdsAsiaJohnGoIIIGoul,232,Actinodura Egertoni,Egerton's Actinodura,exact,Actinodura egertoni,Rusty-fronted Barwing,,,
III,57,BirdsAsiaJohnGoIIIGoul,236,Actinodura Nipalensis,Nepalese Actinodura,exact,Actinodura nipalensis,Hoary-throated Barwing,,,
III,58,BirdsAsiaJohnGoIIIGoul,240,Actinodura Waldeni,Walden's Actinodura,exact,Actinodura waldeni,Streak-throated Barwing,,,
III,59,BirdsAsiaJohnGoIIIGoul,244,Actinodura Ramsayi,Ramsay's Bee-wing,exact,Actinodura ramsayi,Spectacled Barwing,,,
III,60,BirdsAsiaJohnGoIIIGoul,248,Rimator malacoptilus,Long-billed Wren,probable,Napothera malacoptila,Long-billed Wren-Babbler,,,
III,61,BirdsAsiaJohnGoIIIGoul,252,Drymochares stellatus,Stellated Shortwing,not_in_birdnet,,,,,
III,62,BirdsAsiaJohnGoIIIGoul,256,Turdinulus Roberti,Roberts's Pygmy Babbler,none,,,,,
III,63,BirdsAsiaJohnGoIIIGoul,260,Turdinus brevicaudatus,Short-tailed Turdinus,not_in_birdnet,,,,,
III,64,BirdsAsiaJohnGoIIIGoul,264,Yuhina diademata,White-naped Yuhina,not_in_birdnet,,,,,
III,65,BirdsAsiaJohnGoIIIGoul,268,Pellorneum palustre,Marsh Pellorneum,exact,Pellorneum palustre,Marsh Babbler,,,
III,66,BirdsAsiaJohnGoIIIGoul,272,Alcippe brunnea,Brown Alcippe,probable,Schoeniparus brunneus,Dusky Fulvetta,,,
III,67,BirdsAsiaJohnGoIIIGoul,276,Cutia Nipalensis,Nepaul Cutia,exact,Cutia nipalensis,Himalayan Cutia,,,
III,68,BirdsAsiaJohnGoIIIGoul,280,Suthora brunnea,Anderson's Suthora,none,,,,,
III,69,BirdsAsiaJohnGoIIIGoul,284,Suthora munipurensis,Munipur Suthora,none,,,,,
III,70,BirdsAsiaJohnGoIIIGoul,288,Suthora Nipalensis,White-faced Suthora,exact,Suthora nipalensis,Black-throated Parrotbill,,,
III,71,BirdsAsiaJohnGoIIIGoul,292,Suthora fulvifrons,Fulvous-fronted Suthora,none,,,,,
III,72,BirdsAsiaJohnGoIIIGoul,296,Suthora Webbiana,Webb's Suthora,probable,Sinosuthora webbiana,Vinous-throated Parrotbill,,,
III,73,BirdsAsiaJohnGoIIIGoul,300,Paradoxornis Austeni,Austen's Paradoxornis,none,,,,,
III,74,BirdsAsiaJohnGoIIIGoul,304,Paradoxornis Heudei,Pere Heude's Paradoxornis,none,,,,,
III,75,BirdsAsiaJohnGoIIIGoul,308,Paradoxornis flavirostris,Paradoxornis,exact,Paradoxornis flavirostris,Black-breasted Parrotbill,,,
III,76,BirdsAsiaJohnGoIIIGoul,312,Paradoxornis unicolor,Long-tailed Paradoxornis,probable,Cholornis unicolor,Brown Parrotbill,,,
III,77,BirdsAsiaJohnGoIIIGoul,316,Paradoxornis gularis,Grey-crowned Paradoxornis,probable,Psittiparus gularis,Gray-headed Parrotbill,,,
III,78,BirdsAsiaJohnGoIIIGoul,320,Paradoxornis ruficeps,Red-headed Paradoxornis,not_in_birdnet,,,,,
IV,1,BirdsAsiaJohnGoIVGoul,12,Tesia cyaneiventer,Blue-bellied Tesia,probable,Tesia cyaniventer,Gray-bellied Tesia,,,
IV,2,BirdsAsiaJohnGoIVGoul,16,Tesia castaneo-coronata,Chestnut-crowned Tesia,probable,Cettia castaneocoronata,Chestnut-headed Tesia,,,
IV,3,BirdsAsiaJohnGoIVGoul,20,Rhopophilus pekinensis,Chinese Rhopophilus,exact,Rhopophilus pekinensis,Beijing Babbler,,,
IV,4,BirdsAsiaJohnGoIVGoul,24,Suya lepida,Little Suya,none,,,,,
IV,5,BirdsAsiaJohnGoIVGoul,28,Dumetia albogularis,White-throated Dumetia,none,,,,,
IV,6,BirdsAsiaJohnGoIVGoul,32,Dumetia hyperythra,Buff-throated Dumetia,exact,Dumetia hyperythra,Tawny-bellied Babbler,,,
IV,7,BirdsAsiaJohnGoIVGoul,36,Orthotomus longicaudus,Tailor-bird,probable,Orthotomus sutorius,Common Tailorbird,,,
IV,8,BirdsAsiaJohnGoIVGoul,40,Staphida torqueola,Grey-headed Staphida,exact,Staphida torqueola,Indochinese Yuhina,,,
IV,9,BirdsAsiaJohnGoIVGoul,44,Stachyris pyrrhops,Red-eyed Stachyris,probable,Cyanoderma pyrrhops,Black-chinned Babbler,,,
IV,10,BirdsAsiaJohnGoIVGoul,48,Stachyris ruficeps,Red-headed Stachyris,probable,Cyanoderma ruficeps,Rufous-capped Babbler,,,
IV,11,BirdsAsiaJohnGoIVGoul,52,Ixulus castaneiceps,Chestnut-headed Ixulus,none,,,,,
IV,12,BirdsAsiaJohnGoIVGoul,56,Ixulus occipitalis,Thick-billed Ixulus,none,,,,,
IV,13,BirdsAsiaJohnGoIVGoul,60,Ixulus flavicollis,Crested Ixulus,probable,Yuhina flavicollis,Whiskered Yuhina,,,
IV,14,BirdsAsiaJohnGoIVGoul,64,Yuhina occipitalis,Rusty-naped Yuhina,exact,Yuhina occipitalis,Rufous-vented Yuhina,,,
IV,15,BirdsAsiaJohnGoIVGoul,68,Leiothrix luteus,Fork-tailed Leiothrix,probable,Leiothrix lutea,Red-billed Leiothrix,,,
IV,16,BirdsAsiaJohnGoIVGoul,72,Leiothrix argentauris,Silver-eared Leiothrix,exact,Leiothrix argentauris,Silver-eared Mesia,,,
IV,17,BirdsAsiaJohnGoIVGoul,76,Leiothrix laurinae,Laurin's Leiothrix?,none,,,,,
IV,18,BirdsAsiaJohnGoIVGoul,80,Siva strigula,Striped-throated Siva,probable,Actinodura strigula,Chestnut-tailed Minla,,,
IV,19,BirdsAsiaJohnGoIVGoul,84,Siva cyanouroptera,Blue-winged Siva,probable,Actinodura cyanouroptera,Blue-winged Minla,,,
IV,20,BirdsAsiaJohnGoIVGoul,88,Myzornis pyrrhoura,Red-tailed Myzornis,not_in_birdnet,,,,,
IV,21,BirdsAsiaJohnGoIVGoul,92,Cinclus Asiaticus,Asiatic Water-Ouzel,form,Cinclus pallasii,Brown Dipper,,y,
IV,22,BirdsAsiaJohnGoIVGoul,96,Cinclus Pallasi,Pallas's Water-Ouzel,probable,Cinclus pallasii,Brown Dipper,,y,
IV,23,BirdsAsiaJohnGoIVGoul,100,Cinclus sordidus,Sombre-coloured Water-Ouzel,none,,,,,
IV,24,BirdsAsiaJohnGoIVGoul,104,Cinclus leucogaster,White-bellied Water-Ouzel,form,Cinclus cinclus,White-throated Dipper,,y,
IV,25,BirdsAsiaJohnGoIVGoul,108,Cinclus Cashmeriensis,Cashmerian Water-Ouzel,form,Cinclus cinclus,White-throated Dipper,,y,
IV,26,BirdsAsiaJohnGoIVGoul,112,Dromolea picata,Pied Stone-Chat,not_in_birdnet,,,,,
IV,27,BirdsAsiaJohnGoIVGoul,116,Dromolea opistholeuca,White-tailed Stone-Chat,none,,,,,
IV,28,BirdsAsiaJohnGoIVGoul,120,Saxicola capistrata,Grey-capped Stone-Chat,form,Oenanthe pleschanka,Pied Wheatear,,y,
IV,29,BirdsAsiaJohnGoIVGoul,124,Saxicola leucomela,Black-and-White Stone-Chat,probable,Oenanthe pleschanka,Pied Wheatear,,y,
IV,30,BirdsAsiaJohnGoIVGoul,128,Saxicola montana,Mountain Stone-Chat,none,,,,,
IV,31,BirdsAsiaJohnGoIVGoul,132,Saxicola atrogularis,Black-throated Stone-Chat,form,Oenanthe hispanica,Western Black-eared Wheatear,,,
IV,32,BirdsAsiaJohnGoIVGoul,136,Rhodophila melanoleuca,Black-and-White Bush-Chat,probable,Saxicola caprata,Pied Bushchat,,,
IV,33,BirdsAsiaJohnGoIVGoul,140,Pratincola leucura,White-tailed Bush-Chat,not_in_birdnet,,,,,
IV,34,BirdsAsiaJohnGoIVGoul,144,Pratincola Indica,Indian Furze-Chat,none,,,,,
IV,35,BirdsAsiaJohnGoIVGoul,148,Grandala coelicolor,Celestial Grandala,not_in_birdnet,,,,,
IV,36,BirdsAsiaJohnGoIVGoul,152,Ruticilla erythrogastra,Great White-capped Redstart,probable,Phoenicurus leucocephalus,White-capped Redstart,,,
IV,37,BirdsAsiaJohnGoIVGoul,156,Ruticilla erythroprocta,Coal-black Redstart,not_in_birdnet,,,,,
IV,38,BirdsAsiaJohnGoIVGoul,160,Calliope camtschatkensis,Siberian Ruby-throat,probable,Calliope calliope,Siberian Rubythroat,,y,
IV,39,BirdsAsiaJohnGoIVGoul,164,Calliope pectoralis,Himalayan Ruby-throat,exact,Calliope pectoralis,Himalayan Rubythroat,,,
IV,40,BirdsAsiaJohnGoIVGoul,168,Calliope tschebaiewi,Mongolian Ruby-throat,exact,Calliope tschebaiewi,Chinese Rubythroat,,,
IV,41,BirdsAsiaJohnGoIVGoul,172,Accentor montanellus,Mountain Accentor,probable,Prunella montanella,Siberian Accentor,,y,
IV,42,BirdsAsiaJohnGoIVGoul,176,Accentor rubidus,Ruddy Accentor,not_in_birdnet,,,,,
IV,43,BirdsAsiaJohnGoIVGoul,180,Accentor erythropygius,Red-backed Accentor,unsure,Prunella fulvescens,Brown Accentor,,,
IV,44,BirdsAsiaJohnGoIVGoul,184,Accentor Nipalensis,Nepaul Accentor,form,Prunella collaris,Alpine Accentor,,y,
IV,45,BirdsAsiaJohnGoIVGoul,188,Accentor immaculatus,Blue-shouldered Accentor,not_in_birdnet,,,,,
IV,46,BirdsAsiaJohnGoIVGoul,192,Accentor rubeculoides,Red-breasted Accentor,probable,Prunella rubeculoides,Robin Accentor,,,
IV,47,BirdsAsiaJohnGoIVGoul,196,Accentor strophiatus,Banded Accentor,probable,Prunella strophiata,Rufous-breasted Accentor,,,
IV,48,BirdsAsiaJohnGoIVGoul,200,Accentor atrogularis,Black-throated Accentor,not_in_birdnet,,,,,
IV,49,BirdsAsiaJohnGoIVGoul,204,Accentor Altaicus,Altaian Accentor,not_in_birdnet,,,,,
IV,50,BirdsAsiaJohnGoIVGoul,208,Sylvia nana,Desert Whitethroat,not_in_birdnet,,,,,
IV,51,BirdsAsiaJohnGoIVGoul,212,Troglodytes Nipalensis,Nepaulese Wren,form,Troglodytes troglodytes,Eurasian Wren,y,y,
IV,52,BirdsAsiaJohnGoIVGoul,216,Anorthura formosa,Spotted Wren,probable,Elachura formosa,Spotted Elachura,,,
IV,53,BirdsAsiaJohnGoIVGoul,220,Urocichla longicauda,Long-tailed Hill-Wren,none,,,,,
IV,54,BirdsAsiaJohnGoIVGoul,224,Sphenocichla Roberti,Robert's Wedge-billed Wren,not_in_birdnet,,,,,
IV,55,BirdsAsiaJohnGoIVGoul,228,Sphenocichla Humii,Hume's Wedge-billed Wren,not_in_birdnet,,,,,
IV,56,BirdsAsiaJohnGoIVGoul,232,Salpornis spilonota,Spotted Creeper,not_in_birdnet,,,,,
IV,57,BirdsAsiaJohnGoIVGoul,236,Certhia Nipalensis,Nepaulese Creeper,not_in_birdnet,,,,,
IV,58,BirdsAsiaJohnGoIVGoul,240,Certhia Himalayana,Himalayan Creeper,exact,Certhia himalayana,Bar-tailed Treecreeper,,,
IV,59,BirdsAsiaJohnGoIVGoul,244,Phyllopneuste tristis,(no English name printed),form,Phylloscopus collybita,Common Chiffchaff,,y,
IV,60,BirdsAsiaJohnGoIVGoul,248,Regulus himalayensis,Himalayan Goldcrest,form,Regulus regulus,Goldcrest,,y,
IV,61,BirdsAsiaJohnGoIVGoul,252,Motacilla Maderaspatensis,Great Pied Wagtail,exact,Motacilla maderaspatensis,White-browed Wagtail,,,
IV,62,BirdsAsiaJohnGoIVGoul,256,Motacilla Dukhunensis,Deccan Wagtail,form,Motacilla alba,White Wagtail,,y,
IV,63,BirdsAsiaJohnGoIVGoul,260,Motacilla personata,Masked Wagtail,form,Motacilla alba,White Wagtail,,y,
IV,64,BirdsAsiaJohnGoIVGoul,264,Budytes citreoloides,Yellow-headed Wagtail,form,Motacilla citreola,Citrine Wagtail,,y,
IV,65,BirdsAsiaJohnGoIVGoul,268,Pipastes agilis,Indian Tree-Pipit,probable,Anthus hodgsoni,Olive-backed Pipit,,,
IV,66,BirdsAsiaJohnGoIVGoul,272,Anthus cervinus,Red-throated Pipit,exact,Anthus cervinus,Red-throated Pipit,,y,
IV,67,BirdsAsiaJohnGoIVGoul,276,Limonidromus Indicus,Variegated Wagtail,probable,Dendronanthus indicus,Forest Wagtail,,,
IV,68,BirdsAsiaJohnGoIVGoul,280,Enicurus maculatus,Lunated Forktail,exact,Enicurus maculatus,Spotted Forktail,,,
IV,69,BirdsAsiaJohnGoIVGoul,284,Enicurus guttatus,Spotted Forktail,form,Enicurus maculatus,Spotted Forktail,,,
IV,70,BirdsAsiaJohnGoIVGoul,288,Enicurus Chinensis,Chinese Forktail,unsure,Enicurus schistaceus,Slaty-backed Forktail,,,
IV,71,BirdsAsiaJohnGoIVGoul,292,Enicurus Scouleri,Scouler's Forktail,not_in_birdnet,,,,,
IV,72,BirdsAsiaJohnGoIVGoul,296,Melanocorypha maxima,Long-billed Calandre,exact,Melanocorypha maxima,Tibetan Lark,,,
V,1,BirdsAsiaJohnGoVGoul,12,Montifringilla Adamsii,Adams's Mountain Finch,not_in_birdnet,,,,,
V,2,BirdsAsiaJohnGoVGoul,16,Montifringilla arctoa,Northern Mountain Finch,not_in_birdnet,,,,,
V,3,BirdsAsiaJohnGoVGoul,20,Montifringilla haematopygia,Red-rumped Mountain Finch,none,,,,,
V,4,BirdsAsiaJohnGoVGoul,24,Montifringilla brunneinucha,Brown-naped Mountain Finch,none,,,,,
V,5,BirdsAsiaJohnGoVGoul,28,Montifringilla ruficollis,Red-necked Mountain Finch,not_in_birdnet,,,,,
V,6,BirdsAsiaJohnGoVGoul,32,Emberiza caniceps,Grey-capped Bunting,unsure,Emberiza buchanani,Gray-necked Bunting,,,
V,7,BirdsAsiaJohnGoVGoul,36,Emberiza pusilla,Dwarf Bunting,exact,Emberiza pusilla,Little Bunting,,,
V,8,BirdsAsiaJohnGoVGoul,40,Emberiza cinerea,Cinereous Bunting,probable,Emberiza cineracea,Cinereous Bunting,,,
V,9,BirdsAsiaJohnGoVGoul,44,Emberiza fucata,Painted Bunting,exact,Emberiza fucata,Chestnut-eared Bunting,,,
V,10,BirdsAsiaJohnGoVGoul,48,Emberiza rustica,Rustic Bunting,exact,Emberiza rustica,Rustic Bunting,,y,
V,11,BirdsAsiaJohnGoVGoul,52,Glycyspina Huttoni,Hutton's Bunting,unsure,Emberiza stewarti,White-capped Bunting,,,
V,12,BirdsAsiaJohnGoVGoul,56,Euspiza elegans,Elegant Bunting,probable,Emberiza elegans,Yellow-throated Bunting,,,
V,13,BirdsAsiaJohnGoVGoul,60,Euspiza melanocephala,Black-headed Bunting,probable,Emberiza melanocephala,Black-headed Bunting,,y,
V,14,BirdsAsiaJohnGoVGoul,64,Euspiza luteola,Red-headed Bunting,probable,Emberiza bruniceps,Red-headed Bunting,,,
V,15,BirdsAsiaJohnGoVGoul,68,Passer ammodendri,Turkestan Sparrow,exact,Passer ammodendri,Saxaul Sparrow,,,
V,16,BirdsAsiaJohnGoVGoul,72,Fringilla Burtoni,Burton's Grosbeak,probable,Callacanthis burtoni,Spectacled Finch,,,
V,17,BirdsAsiaJohnGoVGoul,76,Carduelis orientalis,Eastern Goldfinch,form,Carduelis carduelis,European Goldfinch,y,y,"caniceps trap: grey-headed goldfinch, not the European bird"
V,18,BirdsAsiaJohnGoVGoul,80,Eophona personata,Masked Grosbeak,exact,Eophona personata,Japanese Grosbeak,,,
V,19,BirdsAsiaJohnGoVGoul,84,Eophona melanura,Black-tailed Grosbeak,probable,Eophona migratoria,Yellow-billed Grosbeak,,,
V,20,BirdsAsiaJohnGoVGoul,88,Mycerobas melanoxanthus,Black-and-Yellow Grosbeak,not_in_birdnet,,,,,
V,21,BirdsAsiaJohnGoVGoul,92,Mycerobas carneipes,Flesh-footed Grosbeak,probable,Mycerobas carnipes,White-winged Grosbeak,,,
V,22,BirdsAsiaJohnGoVGoul,96,Hesperiphona icterioides,Icterine Grosbeak,probable,Mycerobas icterioides,Black-and-yellow Grosbeak,,,
V,23,BirdsAsiaJohnGoVGoul,100,Hesperiphona affinis,Allied Grosbeak,probable,Mycerobas affinis,Collared Grosbeak,,,
V,24,BirdsAsiaJohnGoVGoul,104,Haematospiza Sipahi,Sepoy Finch,not_in_birdnet,,,,,
V,25,BirdsAsiaJohnGoVGoul,108,Carpodacus rubicilla,Caucasian Grosbeak,exact,Carpodacus rubicilla,Great Rosefinch,,,
V,26,BirdsAsiaJohnGoVGoul,112,Carpodacus rhodochlamys,Red-mantled Grosbeak,not_in_birdnet,,,,,
V,27,BirdsAsiaJohnGoVGoul,116,Uragus sibiricus,Siberian Grosbeak,probable,Carpodacus sibiricus,Long-tailed Rosefinch,,y,
V,28,BirdsAsiaJohnGoVGoul,120,Rhodopechys sanguinea,Crimson-winged Finch,not_in_birdnet,,,,,
V,29,BirdsAsiaJohnGoVGoul,124,Erythrospiza obsoleta,Rosy-winged Finch,probable,Rhodospiza obsoleta,Desert Finch,,,
V,30,BirdsAsiaJohnGoVGoul,128,Erythrospiza incarnata,Rosy Finch,unsure,Carpodacus synoicus,Sinai Rosefinch,,,
V,31,BirdsAsiaJohnGoVGoul,132,Erythrospiza githaginea,Trumpeter Bullfinch,probable,Bucanetes githagineus,Trumpeter Finch,,y,
V,32,BirdsAsiaJohnGoVGoul,136,Urocynchramus Pylzowi,Pylzoff's Rose-Bunting,exact,Urocynchramus pylzowi,Przevalski's Pinktail,,,
V,33,BirdsAsiaJohnGoVGoul,140,Carpodacus roseus,Rosy Grosbeak,not_in_birdnet,,,,,
V,34,BirdsAsiaJohnGoVGoul,144,Pyrrhula aurantia,Orange-coloured Bullfinch,not_in_birdnet,,,,,
V,35,BirdsAsiaJohnGoVGoul,148,Pyrrhula orientalis,Oriental Bullfinch,unsure,Pyrrhula erythaca,Gray-headed Bullfinch,,,
V,36,BirdsAsiaJohnGoVGoul,152,Pyrrhula erythrocephala,Red-headed Bullfinch,not_in_birdnet,,,,,
V,37,BirdsAsiaJohnGoVGoul,156,Pyrrhula Nipalensis,Nepaulese Bullfinch,exact,Pyrrhula nipalensis,Brown Bullfinch,,,
V,38,BirdsAsiaJohnGoVGoul,160,Pyrrhula major,Northern Bullfineh,form,Pyrrhula pyrrhula,Eurasian Bullfinch,,y,
V,39,BirdsAsiaJohnGoVGoul,164,Pyrrhula erithacus,Beavan's Bullfinch,probable,Pyrrhula erythaca,Gray-headed Bullfinch,,,
V,40,BirdsAsiaJohnGoVGoul,168,Pyrrhula cineracea,Cinereous Bullfinch,form,Pyrrhula pyrrhula,Eurasian Bullfinch,,y,
V,41,BirdsAsiaJohnGoVGoul,172,Loxia Himalayana,Himalayan Crossbill,form,Loxia curvirostra,Red Crossbill,y,y,
V,42,BirdsAsiaJohnGoVGoul,176,Sturnus unicolor,Sardinian Starling,exact,Sturnus unicolor,Spotless Starling,,y,
V,43,BirdsAsiaJohnGoVGoul,180,Sturnus Humii,Hume's Starling,form,Sturnus vulgaris,European Starling,y,y,
V,44,BirdsAsiaJohnGoVGoul,184,Sturnus purpurascens,Persian Starling,form,Sturnus vulgaris,European Starling,y,y,
V,45,BirdsAsiaJohnGoVGoul,188,Amydrus Tristrami,Tristram's Amydrus,probable,Onychognathus tristramii,Tristram's Starling,,,
V,46,BirdsAsiaJohnGoVGoul,192,Urocissa cerulea,Formosan Blue Pie,probable,Urocissa caerulea,Taiwan Blue-Magpie,,,
V,47,BirdsAsiaJohnGoVGoul,196,Urocissa occipitalis,Nepaulese Blue Pie,form,Urocissa erythroryncha,Red-billed Blue-Magpie,,,
V,48,BirdsAsiaJohnGoVGoul,200,Urocissa Sinensis,Chinese Blue Pie,probable,Urocissa erythroryncha,Red-billed Blue-Magpie,,,
V,49,BirdsAsiaJohnGoVGoul,204,Urocissa magnirostris,Great-billed Blue Pie,form,Urocissa erythroryncha,Red-billed Blue-Magpie,,,
V,50,BirdsAsiaJohnGoVGoul,208,Urocissa flavirostris,Yellow-billed Blue Pie,exact,Urocissa flavirostris,Yellow-billed Blue-Magpie,,,
V,51,BirdsAsiaJohnGoVGoul,212,Urocissa cucullata,White-capped Blue Pie,none,,,,,
V,52,BirdsAsiaJohnGoVGoul,216,Crypsirhina cucullata,Hooded Crypsirhina,not_in_birdnet,,,,,
V,53,BirdsAsiaJohnGoVGoul,220,Cissa pyrrhocyanea,Red-and-Blue Cissa,probable,Cissa chinensis,Common Green-Magpie,,,
V,54,BirdsAsiaJohnGoVGoul,224,Cissa venatoria,Hunting Cissa,form,Cissa chinensis,Common Green-Magpie,,,
V,55,BirdsAsiaJohnGoVGoul,228,Pica leucoptera,White-winged Magpie,form,Pica pica,Eurasian Magpie,,y,
V,56,BirdsAsiaJohnGoVGoul,232,Pica Bactriana,Affghan Magpie,form,Pica pica,Eurasian Magpie,,y,
V,57,BirdsAsiaJohnGoVGoul,236,Pica Bottanensis,Bootan Magpie,exact,Pica bottanensis,Black-rumped Magpie,,,
V,58,BirdsAsiaJohnGoVGoul,240,Garrulus Taivanus,Formosan Jay,form,Garrulus glandarius,Eurasian Jay,,y,
V,59,BirdsAsiaJohnGoVGoul,244,Nucifraga multipunctata,Many-spotted Nutcracker,not_in_birdnet,,,,,
V,60,BirdsAsiaJohnGoVGoul,248,Podoces Biddulphi,Biddulph's Podoces,not_in_birdnet,,,,,
V,61,BirdsAsiaJohnGoVGoul,252,Podoces Hendersoni,Henderson's Podoces,exact,Podoces hendersoni,Mongolian Ground-Jay,,,
V,62,BirdsAsiaJohnGoVGoul,256,Podoces Panderi,Pander's Podoces,not_in_birdnet,,,,,
V,63,BirdsAsiaJohnGoVGoul,260,Podoces humilis,Dingy Podoces,probable,Pseudopodoces humilis,Ground Tit,,,
V,64,BirdsAsiaJohnGoVGoul,264,Pitta bengalensis,Bengal Pitta,form,Pitta brachyura,Indian Pitta,,,
V,65,BirdsAsiaJohnGoVGoul,268,Pitta oreas,Formosan Pitta,probable,Pitta nympha,Fairy Pitta,,,
V,66,BirdsAsiaJohnGoVGoul,272,Pitta Ellioti,Elliot's Pitta,probable,Hydrornis elliotii,Bar-bellied Pitta,,,
V,67,BirdsAsiaJohnGoVGoul,276,Pitta granatina,Bornean Pitta,probable,Erythropitta granatina,Garnet Pitta,,,
V,68,BirdsAsiaJohnGoVGoul,280,Pitta coccinea,Malaccan Pitta,not_in_birdnet,,,,,
V,69,BirdsAsiaJohnGoVGoul,284,Pitta arquata,Necklaced Pitta,probable,Erythropitta arquata,Blue-banded Pitta,,,
V,70,BirdsAsiaJohnGoVGoul,288,Pitta megarhyncha,Large-billed Pitta,exact,Pitta megarhyncha,Mangrove Pitta,,,
V,71,BirdsAsiaJohnGoVGoul,292,Pitta Kochi,Koch's Pitta,not_in_birdnet,,,,,
V,72,BirdsAsiaJohnGoVGoul,296,Pitta Baudii,Red-backed Pitta,probable,Hydrornis baudii,Blue-headed Pitta,,,
V,73,BirdsAsiaJohnGoVGoul,300,Pitta Gurneyi,Gurney's Pitta,not_in_birdnet,,,,,
V,74,BirdsAsiaJohnGoVGoul,304,Pitta Steerii,Steere's Pitta,exact,Pitta steerii,Azure-breasted Pitta,,,
V,75,BirdsAsiaJohnGoVGoul,308,Pitta Ussheri,Ussher's Pitta,probable,Erythropitta ussheri,Black-crowned Pitta,,,
V,76,BirdsAsiaJohnGoVGoul,312,Pitta atricapilla,Black-headed Pitta,form,Pitta sordida,Hooded Pitta,,,
V,77,BirdsAsiaJohnGoVGoul,316,Pitta cyanura,Blue-tailed Pitta,not_in_birdnet,,,,,
V,78,BirdsAsiaJohnGoVGoul,320,Pitta Schwaneri,Schwaner's Pitta,probable,Hydrornis schwaneri,Bornean Banded-Pitta,,,
V,79,BirdsAsiaJohnGoVGoul,324,Pitta Nipalensis,Nepaul Pitta,probable,Hydrornis nipalensis,Blue-naped Pitta,,,
V,80,BirdsAsiaJohnGoVGoul,328,Pitta cyanea,Blue Pitta,probable,Hydrornis cyaneus,Blue Pitta,,,
V,81,BirdsAsiaJohnGoVGoul,332,Pitta caerulea,Cerulean Pitta,probable,Hydrornis caeruleus,Giant Pitta,,,
V,82,BirdsAsiaJohnGoVGoul,336,Pitta cucullata,Hooded Pitta,form,Pitta sordida,Hooded Pitta,,,
V,83,BirdsAsiaJohnGoVGoul,340,Pitta Boschii,Van der Bosch's Pitta,none,,,,,
VI,1,BirdsAsiaJohnGoVIGoul,12,Palaeornis Calthropae,Mrs. Layard's Parrakeet,not_in_birdnet,,,,,
VI,2,BirdsAsiaJohnGoVIGoul,16,Paleornis rosa,Blossom-headed Parrakeet,not_in_birdnet,,,,,
VI,3,BirdsAsiaJohnGoVIGoul,20,Paleornis cyanocephala,Burmese Parrakeet,probable,Psittacula cyanocephala,Plum-headed Parakeet,,,
VI,4,BirdsAsiaJohnGoVIGoul,24,Paleornis Luciani,Bonaparte's Parrakeet,form,Psittacula alexandri,Red-breasted Parakeet,,,
VI,5,BirdsAsiaJohnGoVIGoul,28,Paleornis caniceps,Grey-headed Parrakeet,not_in_birdnet,,,,,
VI,6,BirdsAsiaJohnGoVIGoul,32,Paleornis Nicobaricus,Nicobar Parrakeet,form,Psittacula longicauda,Long-tailed Parakeet,,,
VI,7,BirdsAsiaJohnGoVIGoul,36,Paleornis Columboides,Blue-winged Parrakeet,probable,Psittacula columboides,Malabar Parakeet,,,
VI,8,BirdsAsiaJohnGoVIGoul,40,Paleornis schisticeps,Slaty-headed Parrakeet,probable,Psittacula himalayana,Slaty-headed Parakeet,,,
VI,9,BirdsAsiaJohnGoVIGoul,44,Paleornis Derbianus,The Earl of Derby's Parrakeet,not_in_birdnet,,,,,
VI,10,BirdsAsiaJohnGoVIGoul,48,Paleornis Malaccensis,Malacca Parrakeet,probable,Psittacula longicauda,Long-tailed Parakeet,,,
VI,11,BirdsAsiaJohnGoVIGoul,52,Paleornis affinis,Allied Parrakeet,form,Psittacula eupatria,Alexandrine Parakeet,,,
VI,12,BirdsAsiaJohnGoVIGoul,56,Prioniturus setarius,Racket-tailed Parrot,none,,,,,
